sku,grade
QCNBB000963,B
QCNBB000964,B
QCNBB000965,B
QCNBB000966,B
QCNBB000967,B
QCNBB000968,B
QCNBB000969,B
QCNBB000970,B
QCNBB000971,B
QCNBB000972,B
QCNBB000973,B
QCNBB000974,B
QCNBB000975,B
QCNBB000976,B
QCNBB000977,B
QCNBB000978,B
QCNBB000979,B
QCNBB000980,B
QCNBB000981,B
QCNBB000982,B
QCNBB000983,B
QCNBB000984,B
QCNBB000985,B
QCNBB000986,B
QCNBB000987,B
QCNBB000988,B
QCNBB000989,B
QCNBB000990,B
QCNBB000991,B
QCNBB000992,B
QCNBB000993,B
QCNBB000994,B
QCNBB000995,B
QCNBB000996,B
QCNBB000997,B
QCNBB000998,B
QCNBB000999,B
QCNBB001000,B
QCNBB001001,B
QCNBB001002,B
QCNBB001003,B
QCNBB001004,B
QCNBB001005,B
QCNBB001006,B
QCNBB001007,B
QCNBB001008,B
QCNBB001009,B
QCNBB001010,B
QCNBB001011,B
QCNBB001012,B
QCNBB001013,B
QCNBB001014,B
QCNBB001015,B
QCNBB001016,B
QCNBB001017,B
QCNBB001018,B
QCNBB001019,B
QCNBB001020,B
QCNBB001021,B
QCNBB001022,B
QCNBB001023,B
QCNBB001024,B
QCNBB001025,B
QCNBB001026,B
QCNBB001027,B
QCNBB001028,B
QCNBB001029,B
QCNBB001030,B
QCNBB001031,B
QCNBB001032,B
QCNBB001033,B
QCNBB001034,B
QCNBB001035,B
QCNBB001036,B
QCNBB001037,B
QCNBB001038,B
QCNBB001039,B
QCNBB001040,B
SYGNBQB0074,B
SYGNBQB0075,B
SYGNBQB0076,B
SYGNBQB0077,B
SYGNBQB0078,B
SYGNBQB0079,B
SYGNBQB0080,B
SYGNBQB0081,B
SYGNBQB0082,B
SYGNBQB0083,B
SYGNBQB0084,B
QCNBB001041,B
QCNBB001042,B
QCNBB001043,B
QCNBB001044,B
QCNBB001045,B
QCNBB001046,B
QCNBB001047,B
QCNBB001048,B
QCNBB001049,B
QCNBB001050,B
QCNBB001051,B
QCNBB001052,B
QCNBB001053,B
QCNBB001054,B
QCNBB001055,B
QCNBB001056,B
QCNBB001057,B
QCNBB001058,B
QCNBB001059,B
QCNBB001060,B
QCNBB001061,B
QCNBB001062,B
QCNBB001063,B
QCNBB001064,B
QCNBB001065,B
QCNBB001066,B
QCNBB001067,B
QCNBB001068,B
QCNBB001069,B
QCNBB001070,B
QCNBB001071,B
QCNBB001072,B
QCNBB001073,B
QCNBB001074,B
QCNBB001075,B
QCNBB001076,B
QCNBB001077,B
QCNBB001078,B
QCNBB001079,B
QCNBB001080,B
QCNBB001081,B
QCNBB001082,B
QCNBB001083,B
QCNBB001084,B
QCNBB001085,B
QCNBB001086,B
QCNBB001087,B
QCNBB001088,B
QCNBB001089,B
QCNBB001090,B
QCNBB001091,B
QCNBB001092,B
QCNBB001093,B
QCNBB001094,B
SYGNBQB0085,B
SYGNBQB0086,B
SYGNBQB0087,B
SYGNBQB0088,B
SYGNBQB0089,B
SYGNBQB0090,B
SYGNBQB0091,B
SYGNBQB0092,B
SYGNBQB0093,B
SYGNBQB0094,B
SYGNBQB0095,B
SYGNBQB0096,B
SYGNBQB0097,B
SYGNBQB0098,B
SYGNBQB0099,B
SYGNBQB0100,B
QCNBB001095,B
QCNBB001096,B
QCNBB001097,B
QCNBB001098,B
QCNBB001099,B
QCNBB001100,B
QCNBB001101,B
QCNBB001102,B
QCNBB001103,B
QCNBB001104,B
QCNBB001105,B
QCNBB001106,B
QCNBB001107,B
QCNBB001108,B
QCNBB001109,B
QCNBB001110,B
QCNBB001111,B
QCNBB001112,B
QCNBB001113,B
QCNBB001114,B
QCNBB001115,B
QCNBB001116,B
QCNBB001117,B
QCNBB001118,B
QCNBB001119,B
QCNBB001120,B
QCNBB001121,B
QCNBB001122,B
QCNBB001123,B
QCNBB001124,B
QCNBB001125,B
QCNBB001126,B
QCNBB001127,B
QCNBB001128,B
QCNBB001129,B
QCNBB001130,B
QCNBB001131,B
QCNBB001132,B
QCNBB001133,B
QCNBB001134,B
QCNBB001135,B
QCNBB001136,B
QCNBB001137,B
QCNBB001138,B
QCNBB001139,B
QCNBB001140,B
QCNBB001141,B
QCNBB001142,B
QCNBB001143,B
QCNBB001144,B
QCNBB001145,B
QCNBB001146,B
QCNBB001147,B
QCNBB001148,B
QCNBB001149,B
QCNBB001150,B
QCNBB001151,B
QCNBB001152,B
QCNBB001153,B
QCNBB001154,B
QCNBB001155,B
QCNBB001156,B
QCNBB001157,B
QCNBB001158,B
QCNBB001159,B
QCNBB001160,B
QCNBB001161,B
QCNBB001162,B
QCNBB001163,B
QCNBB001164,B
QCNBB001165,B
QCNBB001166,B
QCNBB001167,B
QCNBB001168,B
QCNBB001169,B
QCNBB001170,B
QCNBB001171,B
QCNBB001172,B
QCNBB001173,B
QCNBB001174,B
QCNBB001175,B
QCNBB001176,B
QCNBB001177,B
QCNBB001178,B
QCNBB001179,B
QCNBB001180,B
QCNBB001181,B
SYGNBQB0101,B
SYGNBQB0102,B
SYGNBQB0103,B
SYGNBQB0104,B
SYGNBQB0105,B
SYGNBQB0106,B
SYGNBQB0107,B
SYGNBQB0108,B
SYGNBQB0109,B
SYGNBQB0110,B
SYGNBQB0111,B
SYGNBQB0112,B
SYGNBQB0113,B
SYGNBQB0114,B
SYGNBQB0115,B
SYGNBQB0116,B
SYGNBQB0117,B
QCNBB001182,B
QCNBB001183,B
QCNBB001184,B
QCNBB001185,B
QCNBB001186,B
QCNBB001187,B
QCNBB001188,B
QCNBB001189,B
QCNBB001190,B
QCNBB001191,B
SYGNBQB0118,B
SYGNBQB0119,B
QCNBB001193,B
QCNBB001194,B
QCNBB001195,B
QCNBB001196,B
QCPNBK00244,B
QCPNBK00245,B
QCPNBK00247,B
QCPNBK00248,B
QCNBB001197,B
QCNBB001198,B
QCNBB001199,B
QCNBB001200,B
QCNBB001201,B
QCNBB001202,B
QCNBB001203,B
QCNBB001204,B
QCNBB001206,B
QCNBB001207,B
QCNBB001208,B
QCNBB001209,B
QCNBB001210,B
QCNBB001211,B
QCNBB001212,B
QCNBB001213,B
SYGNBQB0125,B
SYGNBQB0126,B
QCNBB001214,B
QCNBB001215,B
QCNBB001216,B
QCNBB001217,B
QCNBB001218,B
QCNBB001219,B
QCNBB001220,B
QCNBB001221,B
QCNBB001222,B
QCNBB001223,B
QCNBB001224,B
QCNBB001225,B
QCNBB001226,B
QCNBB001227,B
QCNBB001228,B
QCNBB001229,B
QCNBB001238,B
QCNBB001239,B
QCNBB001240,B
QCNBB001241,B
QCNBB001242,B
QCNBB001243,B
QCNBB001244,B
QCNBB001245,B
QCNBB001246,B
QCNBB001247,B
QCNBB001248,B
QCNBB001249,B
QCNBB001250,B
QCNBB001251,B
QCNBB001252,B
QCNBB001253,B
QCNBB001254,B
QCNBB001255,B
QCNBB001256,B
QCNBB001257,B
QCNBB001258,B
QCNBB001259,B
QCNBB001260,B
QCNBB001261,B
QCNBB001262,B
QCNBB001263,B
QCNBB001264,B
QCNBB001265,B
QCNBB001266,B
QCNBB001267,B
QCNBB001268,B
QCNBB001269,B
QCNBB001270,B
QCNBB001271,B
QCNBB001272,B
QCNBB001273,B
QCNBB001274,B
QCNBB001275,B
QCNBB001276,B
QCNBB001277,B
QCNBB001278,B
QCNBB001279,B
QCNBB001280,B
QCNBB001281,B
QCNBB001282,B
QCNBB001283,B
QCNBB001284,B
QCNBB001285,B
QCNBB001286,B
QCNBB001287,B
QCNBB001288,B
QCNBB001289,B
QCNBB001290,B
QCNBB001291,B
QCNBB001292,B
QCNBB001293,B
QCNBB001294,B
QCNBB001295,B
QCNBB001296,B
QCNBB001297,B
QCNBB001298,B
QCNBB001299,B
QCNBB001300,B
QCNBB001301,B
QCNBB001302,B
QCNBB001303,B
QCNBB001304,B
QCNBB001305,B
QCNBB001306,B
QCNBB001307,B
QCNBB001308,B
QCNBB001309,B
QCNBB001310,B
QCNBB001311,B
QCNBB001312,B
QCNBB001313,B
QCNBB001314,B
QCNBB001315,B
QCNBB001316,B
QCNBB001317,B
QCNBB001318,B
QCNBB001319,B
QCNBB001320,B
QCNBB001321,B
QCNBB001322,B
QCNBB001323,B
QCNBB001324,B
QCNBB001325,B
QCNBB001326,B
QCNBB001327,B
QCNBB001328,B
QCNBB001329,B
QCNBB001330,B
QCNBB001331,B
QCNBB001332,B
QCNBB001333,B
QCNBB001334,B
QCNBB001335,B
QCNBB001336,B
QCNBB001337,B
QCPNBK00249,B
QCNBB001230,B
QCNBB001231,B
QCNBB001232,B
QCNBB001233,B
QCNBB001234,B
QCNBB001235,B
QCNBB001236,B
QCNBB001237,B
SYGNBQB0127,B
SYGNBQB0128,B
SYGNBQB0129,B
SYGNBQB0130,B
SYGNBQB0131,B
SYGNBQB0132,B
SYGNBQB0137,B
SYGNBQB0138,B
SYGNBQB0140,B
SYGNBQB0141,B
SYGNBQB0142,B
SYGNBQB0143,B
SYGNBQB0144,B
SYGNBQB0145,B
QCNBB001392,B
SYGNBQB0146,B
QCNBB001395,B
QCNBB001396,B
QCNBB001397,B
QCNBB001398,B
QCNBB001399,B
QCNBB001400,B
QCNBB001401,B
QCNBB001402,B
QCNBB001403,B
QCNBB001404,B
QCNBB001405,B
QCNBB001406,B
QCNBB001407,B
QCNBB001408,B
QCNBB001409,B
QCNBB001410,B
QCNBB001411,B
QCNBB001412,B
QCNBB001413,B
QCNBB001414,B
QCNBB001415,B
QCNBB001416,B
QCNBB001417,B
QCNBB001418,B
QCNBB001419,B
QCNBB001420,B
SYGNBQB0147,B
SYGNBQB0148,B
SYGNBQB0149,B
SYGNBQB0150,B
QCNBB001205,B
QCNBB001338,B
QCNBB001339,B
QCNBB001340,B
QCNBB001341,B
QCNBB001342,B
QCNBB001343,B
QCNBB001344,B
QCNBB001345,B
QCNBB001346,B
QCNBB001347,B
QCNBB001348,B
QCNBB001349,B
QCNBB001350,B
QCNBB001351,B
QCNBB001354,B
QCNBB001355,B
QCNBB001356,B
QCNBB001357,B
QCNBB001358,B
QCNBB001359,B
QCNBB001360,B
QCNBB001361,B
